"eye_separation";"distance_culling";"triangle_tolerance";"raymarching_iterations";"ray_length";"elapsed_time";"fps"
5;5;0.02;100;0.05;19780608;50.5546
5;4.9;0.02;100;0.05;18998272;52.6364
5;4.8;0.02;100;0.05;19710976;50.7332
5;4.7;0.02;100;0.05;20072448;49.8195
5;4.6;0.02;100;0.05;19102720;52.3486
5;4.5;0.02;100;0.05;19575808;51.0835
5;4.4;0.02;100;0.05;20294656;49.2741
5;4.3;0.02;100;0.05;20224000;49.4462
5;4.2;0.02;100;0.05;19809280;50.4814
5;4.1;0.02;100;0.05;18403328;54.338
5;4;0.02;100;0.05;19709952;50.7358
5;3.9;0.02;100;0.05;19848192;50.3824
5;3.8;0.02;100;0.05;19600384;51.0194
5;3.7;0.02;100;0.05;19623936;50.9582
5;3.6;0.02;100;0.05;17191936;58.1668
5;3.5;0.02;100;0.05;17859584;55.9923
5;3.4;0.02;100;0.05;15725568;63.5907
5;3.3;0.02;100;0.05;15672320;63.8068
5;3.2;0.02;100;0.05;14617600;68.4107
5;3.1;0.02;100;0.05;14857216;67.3074
5;3;0.02;100;0.05;14235648;70.2462
5;2.9;0.02;100;0.05;13418496;74.524
5;2.8;0.02;100;0.05;11566080;86.4597
5;2.7;0.02;100;0.05;9654272;103.581
5;2.6;0.02;100;0.05;8751104;114.271
5;2.5;0.02;100;0.05;7388160;135.352
5;2.4;0.02;100;0.05;6672384;149.871
5;2.3;0.02;100;0.05;4845568;206.374
5;2.2;0.02;100;0.05;4739072;211.012
5;2.1;0.02;100;0.05;4682752;213.55
5;2;0.02;100;0.05;4732928;211.286
5;1.9;0.02;100;0.05;4675584;213.877
5;1.8;0.02;100;0.05;6721536;148.776
5;1.7;0.02;100;0.05;5997568;166.734
5;1.6;0.02;100;0.05;4922368;203.154
5;1.5;0.02;100;0.05;4992000;200.321
5;1.4;0.02;100;0.05;5562368;179.78
5;1.3;0.02;100;0.05;5703680;175.325
5;1.2;0.02;100;0.05;5315584;188.126
5;1.1;0.02;100;0.05;5395456;185.341
5;1;0.02;100;0.05;6621184;151.03
5;0.900003;0.02;100;0.05;5556224;179.978
5;0.800003;0.02;100;0.05;5106688;195.822
