"eye_separation";"distance_culling";"triangle_tolerance";"raymarching_iterations";"ray_length";"elapsed_time";"fps"
5;1;0.02;100;0.05;7629824;131.065
5;1;0.02;100;0.049;7280640;137.351
5;1;0.02;100;0.047;6680576;149.688
5;1;0.02;100;0.045;6612992;151.217
5;1;0.02;100;0.043;8104960;123.381
5;1;0.02;100;0.041;7074816;141.346
5;1;0.02;100;0.039;6555648;152.54
5;1;0.02;100;0.037;6895616;145.02
5;1;0.02;100;0.035;7152640;139.809
5;1;0.02;100;0.033;7579648;131.932
5;1;0.02;100;0.031;7059456;141.654
5;1;0.02;100;0.029;7863296;127.173
5;1;0.02;100;0.027;7819264;127.889
5;1;0.02;100;0.025;8190976;122.086
5;1;0.02;100;0.023;8684544;115.147
5;1;0.02;100;0.021;8208384;121.827
5;1;0.02;100;0.019;8660992;115.46
5;1;0.02;100;0.017;8539136;117.108
5;1;0.02;100;0.015;8239104;121.372
5;1;0.02;107;0.015;8721408;114.66
5;1;0.02;115;0.014;9777152;102.279
5;1;0.02;124;0.013;11288576;88.5851
5;1;0.02;138;0.012;12492800;80.0461
5;1;0.02;151;0.011;12780544;78.2439
5;1;0.02;162;0.01;12913664;77.4374
5;1;0.02;177;0.00900003;15281152;65.4401
