"eye_separation";"distance_culling";"triangle_tolerance";"raymarching_iterations";"ray_length";"elapsed_time";"fps"
5;5;0.02;100;0.05;20131840;49.6726
0;5;0.02;100;0.053;15522816;64.4213
0;5;0.02;100;0.052;14631936;68.3437
0;5;0.02;100;0.051;15749120;63.4956
0;5;0.02;100;0.05;16964608;58.9462
0;5;0.02;100;0.049;16883712;59.2287
0;5;0.02;100;0.048;16118784;62.0394
0;5;0.02;100;0.047;16073728;62.2133
0;5;0.02;100;0.046;17601536;56.8132
0;5;0.02;100;0.045;16576512;60.3263
0;5;0.02;100;0.044;18464768;54.1572
0;5;0.02;100;0.043;19662848;50.8573
0;5;0.02;100;0.042;19674112;50.8282
0;5;0.02;100;0.041;19129344;52.2757
0;5;0.02;100;0.04;19104768;52.343
0;5;0.02;100;0.039;19821568;50.4501
0;5;0.02;100;0.038;19431424;51.463
0;5;0.02;100;0.037;18208768;54.9186
0;5;0.02;100;0.036;20005888;49.9853
0;5;0.02;100;0.035;20238336;49.4112
0;5;0.02;100;0.034;20009984;49.9751
0;5;0.02;100;0.033;19249152;51.9503
0;5;0.02;100;0.032;19269632;51.8951
0;5;0.02;100;0.031;20312064;49.2318
0;5;0.02;100;0.03;19223552;52.0195
0;5;0.02;100;0.029;18445312;54.2143
0;5;0.02;100;0.028;20327424;49.1946
0;5;0.02;100;0.027;19892224;50.2709
0;5;0.02;100;0.026;19981312;50.0468
0;5;0.02;100;0.025;19718144;50.7147
0;5;0.02;100;0.024;19691520;50.7833
0;5;0.02;100;0.023;19592192;51.0407
0;5;0.02;100;0.022;19529728;51.204
0;5;0.02;100;0.021;20326400;49.1971
0;5;0.02;100;0.02;19550208;51.1504
0;5;0.02;100;0.019;18910208;52.8815
0;5;0.02;100;0.018;18868224;52.9992
0;5;0.02;100;0.017;19030016;52.5486
0;5;0.02;100;0.016;18168832;55.0393
0;5;0.02;100;0.015;17809408;56.1501
0;5;0.02;107;0.015;20335616;49.1748
0;5;0.02;111;0.015;21117952;47.3531
0;5;0.02;118;0.014;22002688;45.449
0;5;0.02;127;0.013;23481344;42.587
0;5;0.02;134;0.012;24541184;40.7478
0;5;0.02;133;0.015;25007104;39.9886
0;5;0.02;142;0.012;26359808;37.9365
